date,temperature,humidity,luminosity
2022-11-17 15:34:14.080,25.5,34.8,115
2022-11-17 15:34:09.036,25.4,34.7,115
2022-11-17 15:34:03.993,25.5,34.7,116
2022-11-17 15:33:58.950,25.4,34.7,117
2022-11-17 15:33:53.907,25.5,34.7,115
2022-11-17 15:33:48.863,25.4,34.7,114
2022-11-17 15:33:43.819,25.4,34.7,114
2022-11-17 15:33:38.775,25.4,34.7,115
2022-11-17 15:33:33.732,25.4,34.6,116
2022-11-17 15:33:28.688,25.4,34.5,115
2022-11-17 15:33:23.644,25.4,34.6,114
2022-11-17 15:33:18.600,25.4,34.5,114
2022-11-17 15:33:13.556,25.4,34.5,114
2022-11-17 15:33:08.512,25.3,34.5,115
2022-11-17 15:33:03.469,25.4,34.5,113
2022-11-17 15:32:58.427,25.4,34.3,115
2022-11-17 15:32:53.382,25.4,34.4,114
2022-11-17 15:32:48.338,25.4,34.5,115
2022-11-17 15:32:43.296,25.4,34.5,115
2022-11-17 15:32:38.252,25.4,34.7,114
2022-11-17 15:32:33.208,25.4,34.6,114
2022-11-17 15:32:28.166,25.4,34.6,115
2022-11-17 15:32:23.122,25.4,34.6,115
2022-11-17 15:32:18.078,25.4,34.6,113
2022-11-17 15:32:13.034,25.4,34.7,116
2022-11-17 15:32:07.992,25.4,34.7,115
2022-11-17 15:32:02.948,25.4,34.7,112
2022-11-17 15:31:57.904,25.4,34.7,111
2022-11-17 15:31:52.862,25.3,34.5,112
2022-11-17 15:31:47.818,25.3,34.6,117
2022-11-17 15:31:42.774,25.3,34.7,112
2022-11-17 15:31:37.731,25.4,34.7,117
2022-11-17 15:31:32.687,25.3,34.7,109
2022-11-17 15:31:27.644,25.3,34.6,113
2022-11-17 15:31:22.600,25.4,34.6,114
2022-11-17 15:31:17.557,25.3,34.5,116
2022-11-17 15:31:12.513,25.3,34.6,114
2022-11-17 15:31:07.470,25.3,34.5,114
2022-11-17 15:31:02.427,25.3,34.4,109
2022-11-17 15:30:57.385,25.3,34.4,106
2022-11-17 15:29:51.862,25.2,34.2,111
2022-11-17 15:29:46.819,25.2,34.3,112
2022-11-17 15:29:41.776,25.3,34.4,111
2022-11-17 15:29:36.733,25.2,34.5,108
2022-11-17 15:29:31.688,25.3,34.5,113
2022-11-17 15:29:26.645,25.3,34.5,114
2022-11-17 15:29:21.602,25.3,34.4,114
2022-11-17 15:29:16.559,25.3,34.4,114
2022-11-17 15:29:11.515,25.3,34.5,115
2022-11-17 15:29:06.472,25.3,34.5,115
2022-11-17 15:29:01.429,25.2,34.6,114
2022-11-17 15:28:56.386,25.2,34.6,115
2022-11-17 15:28:51.343,25.2,34.8,113
2022-11-17 15:28:46.300,25.2,34.9,114
2022-11-17 15:28:41.257,25.2,34.8,112
2022-11-17 15:28:36.213,25.2,34.9,106
2022-11-17 15:28:31.169,25.2,34.8,111
2022-11-17 15:28:26.125,25.2,34.8,112
2022-11-17 15:28:21.081,25.2,34.8,107
2022-11-17 15:28:16.038,25.2,34.8,107
2022-11-17 15:28:10.994,25.2,34.8,112
2022-11-17 15:28:05.951,25.3,34.9,112
2022-11-17 15:28:00.907,25.2,34.9,112
2022-11-17 15:27:55.863,25.2,35.0,110
2022-11-17 15:27:50.820,25.2,35.1,109
2022-11-17 15:27:45.776,25.2,35.0,107
2022-11-17 15:27:40.732,25.2,35.0,109
2022-11-17 15:27:35.689,25.2,34.9,114
2022-11-17 15:27:30.645,25.2,34.8,114
2022-11-17 15:27:25.601,25.2,34.8,113
2022-11-17 15:27:20.558,25.1,34.8,113
2022-11-17 15:27:15.515,25.2,34.8,114
2022-11-17 15:27:10.471,25.2,34.7,114
2022-11-17 15:27:05.427,25.2,34.7,113
2022-11-17 15:27:00.383,25.1,34.7,113
2022-11-17 15:26:55.340,25.2,34.6,112
2022-11-17 15:26:50.297,25.1,34.6,112
2022-11-17 15:26:45.253,25.1,34.6,111
2022-11-17 15:26:40.209,25.1,34.6,112
2022-11-17 15:26:35.165,25.1,34.6,112
2022-11-17 15:26:30.121,25.1,34.6,110
2022-11-17 15:26:25.077,25.1,34.6,105
2022-11-17 15:26:20.032,25.1,34.6,113
2022-11-17 15:26:14.989,25.1,34.6,113
2022-11-17 15:26:09.945,25.1,34.8,112
2022-11-17 15:26:04.902,25.1,34.8,112
2022-11-17 15:25:59.858,25.1,34.9,113
2022-11-17 15:25:54.815,25.1,35.0,114
2022-11-17 15:25:49.771,25.1,35.0,113
2022-11-17 15:25:44.729,25.1,35.1,110
2022-11-17 15:25:39.685,25.1,35.1,111
2022-11-17 15:25:34.641,25.1,35.1,116
2022-11-17 15:25:29.597,25.1,35.1,116
2022-11-17 15:25:24.554,25.0,35.2,116
2022-11-17 15:25:19.511,25.1,35.2,116
2022-11-17 15:25:14.469,25.1,35.1,116
2022-11-17 15:25:09.426,25.0,35.2,116
2022-11-17 15:25:04.382,25.0,35.0,117
2022-11-17 15:24:59.339,25.0,34.9,116
2022-11-17 15:24:54.295,25.0,35.0,116
2022-11-17 15:24:49.252,25.0,35.0,113
2022-11-17 15:24:44.208,25.0,34.9,114
2022-11-17 15:24:39.164,25.0,34.9,112
2022-11-17 15:24:34.120,25.0,34.9,109
2022-11-17 15:24:29.076,25.0,34.9,111
2022-11-17 15:24:24.033,25.0,35.0,118
2022-11-17 15:24:18.990,25.0,35.0,116
2022-11-17 15:24:13.945,24.9,35.1,118
2022-11-17 15:24:08.902,25.0,35.1,121
2022-11-17 15:24:03.858,24.9,35.1,121
